cod_ibge,ano,homicidios
290810,2010,1
330480,2010,3
290800,2010,14
330490,2010,385
290790,2010,2
330500,2010,15
330510,2010,176
290780,2010,6
330513,2010,0
290770,2010,1
330515,2010,0
290760,2010,3
330520,2010,22
290755,2010,1
330530,2010,1
290750,2010,28
330540,2010,1
330550,2010,14
290730,2010,4
330555,2010,20
290720,2010,28
330560,2010,4
290710,2010,0
330570,2010,1
330575,2010,9
290700,2010,2
330580,2010,18
290690,2010,3
330590,2010,2
290689,2010,1
330600,2010,6
290687,2010,7
330610,2010,8
290685,2010,1
330615,2010,0
330620,2010,3
290682,2010,0
330630,2010,81
290680,2010,4
350010,2010,1
290670,2010,2
350020,2010,0
290660,2010,2
350030,2010,3
290650,2010,45
350040,2010,1
350050,2010,1
290640,2010,2
350055,2010,1
290630,2010,18
290620,2010,3
350070,2010,3
350075,2010,0
290610,2010,2
350080,2010,0
290600,2010,20
350090,2010,1
290590,2010,1
350100,2010,1
290580,2010,17
350110,2010,0
290570,2010,145
350115,2010,0
350120,2010,0
290560,2010,13
350130,2010,4
290550,2010,2
350140,2010,3
290540,2010,3
350150,2010,0
290530,2010,1
350160,2010,23
290520,2010,2
350170,2010,3
350180,2010,0
290515,2010,0
350190,2010,4
290510,2010,3
350200,2010,0
290500,2010,2
350210,2010,16
290490,2010,8
350220,2010,1
290485,2010,3
350230,2010,0
350240,2010,1
290480,2010,1
350250,2010,3
290475,2010,2
350260,2010,0
290470,2010,14
350270,2010,1
290460,2010,9
350275,2010,3
290450,2010,3
350280,2010,35
350290,2010,4
290440,2010,0
350300,2010,1
290430,2010,1
350310,2010,2
290420,2010,0
350315,2010,0
290410,2010,0
350320,2010,17
290405,2010,2
350330,2010,10
350335,2010,0
290400,2010,1
350340,2010,2
290395,2010,0
350350,2010,0
290390,2010,9
350360,2010,1
290380,2010,1
350370,2010,2
290370,2010,2
350380,2010,6
350390,2010,14
290360,2010,3
350395,2010,0
290350,2010,5
350400,2010,6
290340,2010,6
350410,2010,22
290330,2010,3
350420,2010,1
290327,2010,0
350430,2010,0
350440,2010,1
290323,2010,1
350450,2010,5
290320,2010,0
350460,2010,1
290310,2010,1
350480,2010,0
290300,2010,0
350490,2010,1
290290,2010,6
350500,2010,0
290280,2010,8
350510,2010,0
290270,2010,5
350520,2010,4
350530,2010,1
290265,2010,0
350535,2010,0
290260,2010,3
350540,2010,6
290250,2010,0
350550,2010,11
290240,2010,3
350560,2010,2
290230,2010,2
350570,2010,45
350580,2010,1
290225,2010,2
350590,2010,4
290220,2010,3
350600,2010,53
